price,name,level,monster
0,Raratom Raider la Curvas,Nivel: 1,Raratón gris
0,Mashkira la Rubia de Bote,Nivel: 16 - 20,Moskito
0,Arakniry la Destripada,Nivel: 16 - 20,Arakna
0,Jalatintin el Reportero,Nivel: 22 - 30,Jalatín blanco
0,Jalatintanic el Hundido,Nivel: 22 - 30,Jalatín negro
0,Tofumantxú el Mítico,Nivel: 32 - 40,Tofu maléfico
0,Arkandinska la Lírica,Nivel: 11 - 15,Arakna enferma
0,Pioch el Arenil,Nivel: 11 - 15,Pío azul
0,Piokacho el Eléctrico,Nivel: 11 - 15,Pío amarillo
0,Capioricito Rojo el Forestal,Nivel: 11 - 15,Pío rojo
0,Spionter Vellde el Peligroso,Nivel: 11 - 15,Pío verde
0,Spío el Dragón,Nivel: 11 - 15,Pío violeta
0,Cangri-doo la Hadada,Nivel: 42 - 50,Cangrejo
0,Larvichuela Jack la Mágica,Nivel: 16 - 20,Larva azul
0,Pido el Greñas,Nivel: 11 - 15,Pío rosa
0,Satofu el PlasticPaddy,Nivel: 32 - 40,Tofu
0,Tofumado el Alucinado,Nivel: 11 - 15,Tofu enfermo
0,Champi Casso el Cúbico,Nivel: 16 - 20,Champi champ
0,Diente de Lennon el Universal,Nivel: 16 - 20,Diente de león diabólico
0,Araknekros el Salvaje,Nivel: 22 - 30,Arakna de alcantarilla
0,Banrí Mantís el Pigmentado,Nivel: 42 - 50,Bandido manco
0,Rochavo Democho el Chispotiado,Nivel: 16 - 20,Rosa demoníaca
0,Gelatiris el Arenero,Nivel: 52 - 60,Gelatina azul
0,Kwane el Ciudadano,Nivel: 32 - 40,Kwoan
0,Larvémming el Descerebrado,Nivel: 16 - 20,Larva verde
0,Jaleté el Extraterrestre,Nivel: 22 - 30,Jalató
0,Kolafuerte el Pegatodo,Nivel: 62 - 70,Kólerat
0,Gelazquina el Men,Nivel: 52 - 60,Gelatina de menta
0,Larvangoj el Desorejado,Nivel: 16 - 20,Larva naranja
0,Culebretty la Fea,Nivel: 52 - 60,Culebrón
0,Black Tegerwoddit el Swinguero,Nivel: 42 - 50,Black pekewabbit
0,Paelladero Oscuro el Arrozoso,Nivel: 35 - 47,Panadero oscuro
0,Pekewasqhabit el Juguetón,Nivel: 41 - 49,Pekewabbit
0,Pekiwbyt Hambriento el Glotón,Nivel: 40 - 48,Pekewabbit Hambriento
0,Gearsol Metalvaje el Espía,Nivel: 16 - 20,Girasol salvaje
0,Bandiras el zorro del clan Los Malagueños,Nivel: 37 - 49,Bandido del clan de los tymadores
0,Goyablín el Afrancesado,Nivel: 32 - 40,Gobobo
0,Nozdoku el Numérico,Nivel: 42 - 50,Nozdekoko
0,Pekekokoitu el Interruptus,Nivel: 42 - 50,Pekekoko
0,Kosakhiin el Lunítico,Nivel: 92 - 100,Kosakepega
0,Jabachlí el Casto,Nivel: 22 - 30,Jabalí
0,Champolís el Astronauta,Nivel: 35 - 43,Champo verde
0,Estroilette la Atascada,Nivel: 42 - 50,Estrella del mar Rano
0,Vamorespirros el Múltiple,Nivel: 32 - 40,Vampiro
0,Bibolsón el Anilloso,Nivel: 24 - 28,Biblop coco
0,Biblidiana la Controvertida,Nivel: 24 - 28,Biblop guinda
0,Biblues el Ritmo,Nivel: 24 - 28,Biblop índigo
0,Biblópera el Fantasma,Nivel: 24 - 28,Biblop reineta
0,Cabalista el Conspirador,Nivel: 32 - 40,Gobletrotter
0,Milirratatúi el Gastrónomo,Nivel: 22 - 30,Milirrata strubiense
0,Bo'Callaghan el Trebol,Nivel: 25 - 29,Boo
0,Prestrit el Luchador,Nivel: 22 - 30,Prespic
0,Cochumájer el Rápido,Nivel: 42 - 50,Cochinillo
0,Tortugríssom el Doctor,Nivel: 42 - 50,Tortuga amarilla
0,Wogew Wabbit el Engañado,Nivel: 44 - 52,Wabbit
0,Pastortilla el Huevo,Nivel: 42 - 50,Pastor puerkazo
0,Robiolego el Ensamblado,Nivel: 55 - 63,Robionicle
0,Jalatillo el Infantil,Nivel: 22 - 30,Jefe de guerra jalató
0,Colmillamoto el Omnipotente,Nivel: 62 - 70,Colmillo blando
0,Tortugadget el Inspector,Nivel: 42 - 50,Tortuga azul
0,Bambudín el Azteca,Nivel: 102 - 110,Bambuto
0,Cuergotismo el Febril,Nivel: 102 - 110,Cuerbok
0,Pischili Conkarne el Fuerte,Nivel: 16 - 20,Pischis blanco
0,Pischurrasco el Braseado,Nivel: 16 - 20,Pischis azul
0,Pischistorra la Cárnica,Nivel: 16 - 20,Pischis naranja
0,Gazpischos el Refrescante,Nivel: 16 - 20,Pischis verde
0,Tortugo Projatt el Corto,Nivel: 42 - 50,Tortuga roja
0,Maéstrick Vaggerpiro el Canto Rodado,Nivel: 37 - 49,Vampiro jefe
0,Robocoop el Intercambiado,Nivel: 53 - 61,Robot mangual
0,Mazomorra el Rolista,Nivel: 92 - 100,Mazorral
0,Mililupin el Tercero,Nivel: 22 - 30,Minilubo
0,Mitoskorleone el Buen Padre,Nivel: 102 - 110,Minoskito
0,Nujosawa el Emperador,Nivel: 20 - 24,Nujo
0,Tortruquini el Inspector,Nivel: 42 - 50,Tortuga verde
0,Bwhork Mageneration el Precursor,Nivel: 42 - 50,Bwork mago
0,Blackowibbit el Imaginativo,Nivel: 46 - 54,Black wabbit
0,Colmillazaqui el Inagotable,Nivel: 62 - 70,Crowrajo
0,Rostetricia la Reproductiva,Nivel: 19 - 27,Rosa oscura
0,Minerón el Incendiario,Nivel: 42 - 50,Minero oscuro
0,Barchwork el Multicolor,Nivel: 37 - 49,Bwork arquero
0,Champlomo el Soldadito,Nivel: 35 - 43,Champo azul
0,Champlin el Cómico,Nivel: 35 - 43,Champo marrón
0,Champán el Espumoso,Nivel: 35 - 43,Champo rojo
0,Crojmeo el Veronés,Nivel: 62 - 70,Crujibola
0,Mandreinas las Nueve,Nivel: 100 - 108,Mandrina
0,Cofresno el Espinoso,Nivel: 57 - 65,Cofre equipado
0,Pulgargrolito el Astuto,Nivel: 32 - 40,Gárgrola
0,Dragozart Almandreus el Prodigio,Nivel: 55 - 67,Dragopavo almendrado salvaje
0,Gelatina Turner la Best,Nivel: 54 - 62,Gelatina de fresa
0,Waybbit Esquelite el Rebelde,Nivel: 48 - 56,Wabbit esqueleto
0,Chafo el del Ocho,Nivel: 25 - 37,Chafer invisible
0,Crujaitor el Eurovisivo,Nivel: 62 - 70,Crujidor
0,Bwarkgner el Magnificentista,Nivel: 44 - 56,Bwork
0,Abrakíledo el Patas Ligeras,Nivel: 38 - 50,Abráknido
0,Kramelanoma el Ennegrecedor,Nivel: 110 - 118,Krameleón
0,Escarumais los Siete,Nivel: 34 - 42,Escarahoja blanco
0,Estarausija Azul el del Danubio,Nivel: 34 - 42,Escarahoja azul
0,Escorobeitor el Malvado,Nivel: 34 - 42,Escarahoja rojo
0,Escaramelo el Derretido,Nivel: 34 - 42,Escarahoja verde
0,Arib Abá el de los 40,Nivel: 34 - 42,Rib
0,Blómperman el Explosivo,Nivel: 52 - 60,Blop coco
0,Blop Dylan el Ventoso,Nivel: 52 - 60,Blop guinda
0,Blop Inocho el Narizotas,Nivel: 52 - 60,Blop índigo
0,Bloppy Reinarker la Primera Mitad,Nivel: 52 - 60,Blop reineta
0,Doomba el Inimitable,Nivel: 82 - 90,Boomba
0,Cerduodenitis el Abdominal,Nivel: 90 - 98,Cerdo de Farle
0,Escarálibur la Legendaria,Nivel: 110 - 118,Escarato
0,Chafíner Divarrio el Casposo,Nivel: 33 - 41,Chafer infante
0,Larvado el Limpio,Nivel: 16 - 20,Larva amarilla
0,Trroncky III el Tigre,Nivel: 33 - 45,Tronkónido
0,Abrákneo el Elegido,Nivel: 42 - 50,Abrakno
0,Cháferlie el Ángeles,Nivel: 32 - 40,Chafer
0,Cocodranel la perfumada,Nivel: 42 - 50,Cocodrail
0,Ratokio de Alcontel la Despeinada,Nivel: 22 - 30,Miserata strubiense
0,Scorbuthoveen el Sordo,Nivel: 62 - 70,Scorbuto
0,Dragamenón el Destructroyer,Nivel: 60 - 72,Dragopavo pelirrojo salvaje
0,Bulbubunet la Única,Nivel: 102 - 110,Bulbomatorral
0,Crustoriyama el Boludo,Nivel: 36 - 48,Crustoral kuraçao
0,Crustodralí el Bigotudo,Nivel: 36 - 48,Crustoral malibut
0,Crustérix el Viajante,Nivel: 36 - 48,Crustoral mohito
0,Blómperman el Explosivo,Nivel: 52 - 60,Blop coco
0,Blop Dylan el Ventoso,Nivel: 52 - 60,Blop guinda
0,Blop Inocho el Narizotas,Nivel: 52 - 60,Blop índigo
0,Bloppy Reinarker la Primera Mitad,Nivel: 52 - 60,Blop reineta
0,Doomba el Inimitable,Nivel: 82 - 90,Boomba
0,Cerduodenitis el Abdominal,Nivel: 90 - 98,Cerdo de Farle
0,Escarálibur la Legendaria,Nivel: 110 - 118,Escarato
0,Chafíner Divarrio el Casposo,Nivel: 33 - 41,Chafer infante
0,Larvado el Limpio,Nivel: 16 - 20,Larva amarilla
0,Trroncky III el Tigre,Nivel: 33 - 45,Tronkónido
0,Abrákneo el Elegido,Nivel: 42 - 50,Abrakno
0,Cháferlie el Ángeles,Nivel: 32 - 40,Chafer
0,Cocodranel la perfumada,Nivel: 42 - 50,Cocodrail
0,Ratokio de Alcontel la Despeinada,Nivel: 22 - 30,Miserata strubiense
0,Scorbuthoveen el Sordo,Nivel: 62 - 70,Scorbuto
0,Dragamenón el Destructroyer,Nivel: 60 - 72,Dragopavo pelirrojo salvaje
0,Bulbubunet la Única,Nivel: 102 - 110,Bulbomatorral
0,Crustoriyama el Boludo,Nivel: 36 - 48,Crustoral kuraçao
0,Crustodralí el Bigotudo,Nivel: 36 - 48,Crustoral malibut
0,Crustérix el Viajante,Nivel: 36 - 48,Crustoral mohito
0,Charratos el Diletante,Nivel: 52 - 60,Ramán de alcantarilla
0,DoK Ok el Gasterópodo,Nivel: 70 - 78,Dok alako
0,Minocontavan Konm'astuzia el Colorado,Nivel: 120 - 128,Minovillo
0,Kokajín el Calvo,Nivel: 60 - 68,Koalak inmaduro
0,El Strat el Vampiro,Nivel: 32 - 40,La stropajo
0,El Stronyjok el Pajarillo,Nivel: 32 - 40,El stropajo
0,El Strópala Otravez el Sam,Nivel: 92 - 104,Stropajo turbado
0,Palmiscor Pions los Amantes,Nivel: 37 - 49,Palmiflor malibut
0,Palmila la Vigilante,Nivel: 37 - 49,Palmiflor mohito
0,Palmifred Passteroh el Bailarín,Nivel: 37 - 49,Palmiflor passaoh
0,Jabulio de la Llanesias el Portero,Nivel: 40 - 48,Jabalí de las llanuras
