price,name,level,monster
28000,Raratom Raider la Curvas,Nivel: 1,Raratón gris
28000,Cochumájer el Rápido,Nivel: 42 - 50,Cochinillo
28000,Champacné el Granitos,Nivel: 172 - 180,Champáknido
28000,Bandiras el zorro del clan Los Malagueños,Nivel: 37 - 49,Bandido del clan de los tymadores
28000,Bwhork Mageneration el Precursor,Nivel: 42 - 50,Bwork mago
28000,Troolbin el de los Bolsquels,Nivel: 112 - 120,Trooloko
28000,Bo'Callaghan el Trebol,Nivel: 25 - 29,Boo
28000,Blómperman el Explosivo,Nivel: 52 - 60,Blop coco
28000,Trroncky III el Tigre,Nivel: 33 - 45,Tronkónido
28000,Mamachichu la Exuberante,Nivel: 122 - 130,Mamanuki
28000,Satofu el PlasticPaddy,Nivel: 32 - 40,Tofu
28000,Serranito el Montadito,Nivel: 80 - 92,Cerdo serrano
28000,Larvichuela Jack la Mágica,Nivel: 16 - 20,Larva azul
28000,Bibolsón el Anilloso,Nivel: 24 - 28,Biblop coco
28000,Crustodralí el Bigotudo,Nivel: 36 - 48,Crustoral malibut
28000,Blómperman el Explosivo,Nivel: 52 - 60,Blop coco
28000,Trroncky III el Tigre,Nivel: 33 - 45,Tronkónido
28000,Crustodralí el Bigotudo,Nivel: 36 - 48,Crustoral malibut
28999,Mashkira la Rubia de Bote,Nivel: 16 - 20,Moskito
29999,Prestrit el Luchador,Nivel: 22 - 30,Prespic
33499,Larvado el Limpio,Nivel: 16 - 20,Larva amarilla
33499,Larvado el Limpio,Nivel: 16 - 20,Larva amarilla
33998,Larvangoj el Desorejado,Nivel: 16 - 20,Larva naranja
33999,Jabulio de la Llanesias el Portero,Nivel: 40 - 48,Jabalí de las llanuras
33999,Jalatintanic el Hundido,Nivel: 22 - 30,Jalatín negro
34867,Pischili Conkarne el Fuerte,Nivel: 16 - 20,Pischis blanco
34989,Gelatina Turner la Best,Nivel: 54 - 62,Gelatina de fresa
34997,El Strat el Vampiro,Nivel: 32 - 40,La stropajo
34999,Araknekros el Salvaje,Nivel: 22 - 30,Arakna de alcantarilla
35000,Gelatiris el Arenero,Nivel: 52 - 60,Gelatina azul
35000,Champolís el Astronauta,Nivel: 35 - 43,Champo verde
35499,El Stronyjok el Pajarillo,Nivel: 32 - 40,El stropajo
35999,Jaleté el Extraterrestre,Nivel: 22 - 30,Jalató
36997,Crujaitor el Eurovisivo,Nivel: 62 - 70,Crujidor
37498,Tortugríssom el Doctor,Nivel: 42 - 50,Tortuga amarilla
38000,Cangri-doo la Hadada,Nivel: 42 - 50,Cangrejo
38886,Crojmeo el Veronés,Nivel: 62 - 70,Crujibola
39000,Kanábolo el Rubio,Nivel: 52 - 60,Kaníbola jav
39499,Champán el Espumoso,Nivel: 35 - 43,Champo rojo
39986,Jabachlí el Casto,Nivel: 22 - 30,Jabalí
39987,Arib Abá el de los 40,Nivel: 34 - 42,Rib
39998,Rochavo Democho el Chispotiado,Nivel: 16 - 20,Rosa demoníaca
40000,Mililupin el Tercero,Nivel: 22 - 30,Minilubo
40845,Gelazquina el Men,Nivel: 52 - 60,Gelatina de menta
41000,Estarausija Azul el del Danubio,Nivel: 34 - 42,Escarahoja azul
41994,Rostetricia la Reproductiva,Nivel: 19 - 27,Rosa oscura
41999,Chafíner Divarrio el Casposo,Nivel: 33 - 41,Chafer infante
41999,Chafíner Divarrio el Casposo,Nivel: 33 - 41,Chafer infante
42000,Tortruquini el Inspector,Nivel: 42 - 50,Tortuga verde
43000,Uginukem el Duque,Nivel: 42 - 50,Chafer draugr
43609,Cháferlie el Ángeles,Nivel: 32 - 40,Chafer
43609,Cháferlie el Ángeles,Nivel: 32 - 40,Chafer
44000,Blop Dylan el Ventoso,Nivel: 52 - 60,Blop guinda
44000,Blop Dylan el Ventoso,Nivel: 52 - 60,Blop guinda
44996,Tortugo Projatt el Corto,Nivel: 42 - 50,Tortuga roja
45000,Jalatintin el Reportero,Nivel: 22 - 30,Jalatín blanco
47000,Biblidiana la Controvertida,Nivel: 24 - 28,Biblop guinda
47497,Champlin el Cómico,Nivel: 35 - 43,Champo marrón
48999,Kakai el Ensuciado,Nivel: 122 - 130,Kuakai
49996,Escorobeitor el Malvado,Nivel: 34 - 42,Escarahoja rojo
49999,Biblópera el Fantasma,Nivel: 24 - 28,Biblop reineta
49999,Champi Casso el Cúbico,Nivel: 16 - 20,Champi champ
51500,Vamorespirros el Múltiple,Nivel: 32 - 40,Vampiro
51999,Abrakeponerse el Optimista,Nivel: 78 - 90,Abráknido oscuro
53999,Champlomo el Soldadito,Nivel: 35 - 43,Champo azul
55000,Bloppy Reinarker la Primera Mitad,Nivel: 52 - 60,Blop reineta
55000,Bloppy Reinarker la Primera Mitad,Nivel: 52 - 60,Blop reineta
55999,Escarumais los Siete,Nivel: 34 - 42,Escarahoja blanco
58466,Fantasma Arepopins la Niñera,Nivel: 42 - 50,Fantasma sesino
58466,Fantasma Arepopins la Niñera,Nivel: 42 - 50,Fantasma sesino
58886,Drajoanito el Rojo,Nivel: 62 - 70,Dragohuevo carbonoso
58886,Drajoanito el Rojo,Nivel: 62 - 70,Dragohuevo carbonoso
58977,Mazomorra el Rolista,Nivel: 92 - 100,Mazorral
59000,Tortugadget el Inspector,Nivel: 42 - 50,Tortuga azul
59993,Dreggeatón el Latino,Nivel: 62 - 70,Dragohuevo calizo
59993,Dreggeatón el Latino,Nivel: 62 - 70,Dragohuevo calizo
60000,Dragkuín el Disfrazado,Nivel: 62 - 70,Dragohuevo arcilloso
60000,Kuantista el Incomprendido,Nivel: 122 - 130,Kuanuto
60000,Dragkuín el Disfrazado,Nivel: 62 - 70,Dragohuevo arcilloso
60000,Jalatillo el Infantil,Nivel: 22 - 30,Jefe de guerra jalató
60799,Bwarkgner el Magnificentista,Nivel: 44 - 56,Bwork
61999,Blop Inocho el Narizotas,Nivel: 52 - 60,Blop índigo
61999,Blop Inocho el Narizotas,Nivel: 52 - 60,Blop índigo
62898,Larvémming el Descerebrado,Nivel: 16 - 20,Larva verde
63000,Lichangora la Inmaculada,Nivel: 132 - 140,Gorolichang
63995,Chafernan D'alonzo el Nano,Nivel: 42 - 50,Chafer de élite
64000,Kanibúlrich Lars el Metálico,Nivel: 52 - 60,Kaníbola Fipi
64000,Bambudín el Azteca,Nivel: 102 - 110,Bambuto
64975,Fantasmarley el Rastafari,Nivel: 42 - 50,Fantasma de aperitubo
64975,Fantasmarley el Rastafari,Nivel: 42 - 50,Fantasma de aperitubo
65000,Jikitita la Moldeada,Nivel: 122 - 130,Senojiki
65000,Jikitita la Moldeada,Nivel: 122 - 130,Senojiki
67999,Cabalista el Conspirador,Nivel: 32 - 40,Gobletrotter
67999,Diente de Lennon el Universal,Nivel: 16 - 20,Diente de león diabólico
68000,Robiolego el Ensamblado,Nivel: 55 - 63,Robionicle
70000,Barrostroporosis el Frágil,Nivel: 101 - 112,Barrostropajo
70000,Arakniry la Destripada,Nivel: 16 - 20,Arakna
70000,Goyablín el Afrancesado,Nivel: 32 - 40,Gobobo
70998,Reyuna el Dibujante,Nivel: 192 - 200,Rey stropajo
71000,Kwakaolatt el Chocolateado,Nivel: 42 - 50,Kwak de llamas
73111,Arkandinska la Lírica,Nivel: 11 - 15,Arakna enferma
75000,Kurogordu el Imponente,Nivel: 132 - 140,Kurookin
75999,Pastortilla el Huevo,Nivel: 42 - 50,Pastor puerkazo
76000,Rojevita la Pequeña,Nivel: 132 - 140,Rojiva
76355,Abrakíledo el Patas Ligeras,Nivel: 38 - 50,Abráknido
76997,Kwane el Ciudadano,Nivel: 32 - 40,Kwoan
78000,Kwakeado el Pirateado,Nivel: 42 - 50,Kwak de viento
78000,Escupefistro el Torpedo,Nivel: 132 - 140,Escupefux
79000,Colmillazaqui el Inagotable,Nivel: 62 - 70,Crowrajo
79970,Ratila el Huno,Nivel: 52 - 60,Rata hyoactiva
79970,Ratila el Huno,Nivel: 52 - 60,Rata hyoactiva
79999,Minerón el Incendiario,Nivel: 42 - 50,Minero oscuro
80000,Fanthraks el Acomplejado,Nivel: 42 - 50,Fantasma corazado
80000,Raúl Cera la Péptica,Nivel: 42 - 50,Raúl mops
80000,Cañón Dorzuelo el Doloroso,Nivel: 82 - 90,Cañón dorf
80000,Cañón Dorzuelo el Doloroso,Nivel: 82 - 90,Cañón dorf
80000,Fanthraks el Acomplejado,Nivel: 42 - 50,Fantasma corazado
84986,Biblues el Ritmo,Nivel: 24 - 28,Biblop índigo
87999,Mandreinas las Nueve,Nivel: 100 - 108,Mandrina
88000,Klaidíbola Cerbarrow la Otra Mitad,Nivel: 52 - 60,Kaníbola cerbat
88489,Palmiscor Pions los Amantes,Nivel: 37 - 49,Palmiflor malibut
88883,Dientetris el Inolvidable,Nivel: 128 - 140,Diente pe-león
89000,Crujlieta la Veronesa,Nivel: 93 - 105,Crujibola pulío
90000,Maéstrick Vaggerpiro el Canto Rodado,Nivel: 37 - 49,Vampiro jefe
90000,Drakolakao el Sabroso,Nivel: 90 - 98,Drakoalak
93000,Crustoriyama el Boludo,Nivel: 36 - 48,Crustoral kuraçao
93000,Crustoriyama el Boludo,Nivel: 36 - 48,Crustoral kuraçao
94000,Bulbubunet la Única,Nivel: 102 - 110,Bulbomatorral
94000,Bulbubunet la Única,Nivel: 102 - 110,Bulbomatorral
94998,Mamoon el Grande,Nivel: 90 - 98,Mamá koalak
94999,Tofumantxú el Mítico,Nivel: 32 - 40,Tofu maléfico
95999,Kanníbal el Lector,Nivel: 52 - 60,Kaníbola arquero
96000,Koalako el Pato,Nivel: 80 - 88,Koalak índigo
96000,Koalako el Pato,Nivel: 80 - 88,Koalak índigo
97999,Kuapánfilo el Intelectual,Nivel: 122 - 130,Kuapatán
98000,Kukumina la Violenta,Nivel: 122 - 130,Kukumi
98493,Fantastle Vániante la Matavampiros,Nivel: 42 - 50,Fantasma nimado
98493,Fantastle Vániante la Matavampiros,Nivel: 42 - 50,Fantasma nimado
99900,Palmifred Passteroh el Bailarín,Nivel: 37 - 49,Palmiflor passaoh
99990,Dragozart Almandreus el Prodigio,Nivel: 55 - 67,Dragopavo almendrado salvaje
99995,Kolafuerte el Pegatodo,Nivel: 62 - 70,Kólerat
99997,Palmila la Vigilante,Nivel: 37 - 49,Palmiflor mohito
99999,Kokajín el Calvo,Nivel: 60 - 68,Koalak inmaduro
100000,Chafo el del Ocho,Nivel: 25 - 37,Chafer invisible
100997,Koayak el Destripador,Nivel: 104 - 116,Koalak salvaje
104998,Mitoskorleone el Buen Padre,Nivel: 102 - 110,Minoskito
104999,Pischistorra la Cárnica,Nivel: 16 - 20,Pischis naranja
108000,Lodontólogo el Sonriente,Nivel: 95 - 107,Lodostropajo
108499,Kwakwático el Mojado,Nivel: 42 - 50,Kwak de hielo
108993,Ábrakin el Oscuro,Nivel: 80 - 92,Abrakno oscuro
